created_at,tweet_id,text
Fri Mar 27 23:58:58 +0000 2020,1243688999966986241,"Scott Morrison, Boris Johnson, Donald Trump. What do they have in common? Let me help you...incompetence.

#coronavirus #COVID19 #Australia #coronavirusaustralia #CoronaVillains #coronavirusususa"
Fri Mar 27 23:58:20 +0000 2020,1243688837173239809,NZ PM @JacindaArdern has raised this issue directly with Scott Morrison several times in the last few weeks. https://t.co/HE966HA4CT
Fri Mar 27 23:58:06 +0000 2020,1243688780357423109,"Do not let her be forgotten #FreeKylie
Please sign the petition https://t.co/3Yl0fInXEH https://t.co/Dr9d7HCD1g"
Fri Mar 27 23:56:02 +0000 2020,1243688261677006849,"Nothing's changed, still doing what I can to protect myself and those around me. If a law comes in I haven't heard about the police/the Army will stop me, but I haven't listened to Scott Morrison or anyone from this fake-arse govt for days and I feel alive #COVID19 #auspol https://t.co/OBeRDj55zC"
Fri Mar 27 23:54:52 +0000 2020,1243687968566435840,scott morrison https://t.co/sS1WmFBSoC
Fri Mar 27 23:54:23 +0000 2020,1243687847002959873,@ReviewsPossum Is that a Scott Morrison reference😂
Fri Mar 27 23:47:55 +0000 2020,1243686217452945408,"@DavidNAtchison The ineptitude of our conservative neoliberal government is on full display. The states have had to take the lead &amp; force the federal government to get their shit together. If you ever want to see someone talk, make no sense, &amp; not actually say anything, watch PM Scott Morrison."
Fri Mar 27 23:43:12 +0000 2020,1243685028908818432,"Prime Minister Scott Morrison has urged the Australian public to avoid using the word “lockdown”, saying it creates “unnecessary anxiety” and contributes to panic-buying."
Fri Mar 27 23:42:12 +0000 2020,1243684778995580929,"Scott Morrison can’t decide whether or not to close hairdressers, meanwhile in Italy the cameraman tells the President to “fix your hair” before the live address and he responds, “Hey Giovanni, I’m not going to the barber either” 😂 😂 😂 https://t.co/PncXuCoIDg"
Fri Mar 27 23:41:59 +0000 2020,1243684724305874945,@christianlexus @ausgov @ScottMorrisonMP Scott Morrison’s Non-actions cost lives
Fri Mar 27 23:41:40 +0000 2020,1243684646178578432,"#Coronavirus #Australia live news: Scott Morrison prepares nation for quiet weekend in amid COVID-19 crisis

https://t.co/6UCgdqK10V"
Fri Mar 27 23:41:19 +0000 2020,1243684554579136512,"@MikeCarlton01 That would be Scott Morrison, the Neville Chamberlain of the Coronavirus War, that Sheridan is gushing about?"
Fri Mar 27 23:40:10 +0000 2020,1243684265943904257,"@ausgov Scott Morrison You could’ve saved all our lives and all our jobs back in February

 Scott Morrison letting Australian people down again"
Fri Mar 27 23:40:00 +0000 2020,1243684224693043206,"Scott Morrison has cautioned the Australian public against saying this one word as the nation continues to battle the COVID-19 outbreak.

https://t.co/l7eBBkA8Ou"
Fri Mar 27 23:38:30 +0000 2020,1243683848375787520,"@mareeohl Actually Scott Morrison can mitigate the risks greatly by doing a better job...not enough PPE gear, not tough enough on lockdown, help get people off the street, help homeless &amp; unemployed, help healthcare workers isolate from families etc..appreciate the kind words though"
Fri Mar 27 23:37:14 +0000 2020,1243683531122827265,"LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN LOCKDOWN 
#scomo

Why PM doesn’t want us to say ‘lockdown’ https://t.co/ns6xVHeVgF via @newscomauHQ"
Fri Mar 27 23:32:11 +0000 2020,1243682256696164352,#scottmorrisononlycaresaboutmoney @ScottMorrisonMP  Scott Morrison refuses to #lockusdown #shutdownaustralia #shutaustraliadown #CoronaLockdown #coronavirusaustralia @AlboMP @marshall_steven
Fri Mar 27 23:31:44 +0000 2020,1243682145299615744,"Scott Morrison, you're the PM. Grow some balls and freeze rent, mortgages and all other normal bills. Under these conditions it would keep your precious economy in stasis thereby keeping it afloat. Give everyone food stamps and then lock down."
Fri Mar 27 23:31:42 +0000 2020,1243682138186104832,"@SenPaterson @larissawaters Poor taste is an understatement. Like a high school bully.
Think next time, you are meant to be a representative of the Australian taxpayers. Time to grow up. How about an apology, that would be an adult thing to do, to Scott Morrison and the Australian people."
Fri Mar 27 23:27:13 +0000 2020,1243681009809281025,"Of the total assistance, ""only"" $30 billion would go into the economy through the three months to the end of June. It’s all about the money with Scott Morrison. He doesn’t care about people."
Fri Mar 27 23:26:10 +0000 2020,1243680744926408704,"Incompetent Scott Morrison’s total stimulus by the federal, state governments equated to 3.7 per cent of GDP. This was less than the 4.3 per cent of GDP run out during the global financial crisis."
Fri Mar 27 23:25:15 +0000 2020,1243680514134798339,Scott Morrison is trying his best for the economy but the election i queensland was not necessary https://t.co/9dW7ZBmArU
Fri Mar 27 23:24:29 +0000 2020,1243680320697716736,"In 14 areas across Australia, including Newcastle, Scott Morrison has just slashed the size bulk billing incentives.  Sign the petition to help save bulk billing! https://t.co/iR32OAtYay"
Fri Mar 27 23:23:44 +0000 2020,1243680129718476800,@ScottMorrisonMP SCOTT MORRISON @PeterDutton_MP  PETER DUTTON @GregHuntMP  GREG HUNT @AlboMP @marshall_steven @7NewsAustralia @9NewsAUS @SBSNews @abcnews @AJEnglish #CoronaLockdown #coronavirusaustralia #ShutUsDown #shutdownaustralia  #COVID19Aus https://t.co/UYnYSJsVN4
