created_at,tweet_id,text
Sun Mar 29 02:22:48 +0000 2020,1244087583358869504,"@naomirwolf While I don't like the Liberals much at all, if you think Scott Morrison and his party aren't actively doing much if anything to address the Coronavirus situation, I have no time for such a misguided and like-hungry opinion."
Sun Mar 29 02:22:31 +0000 2020,1244087512504516609,"@ToniAussi @theprojecttv I would say it’s more about holding the government in power, the decision makers , to account for the horrendous decision. If the tables were turned, you could bet your bottom dollar that Scott Morrison would do exactly the same."
Sun Mar 29 02:21:16 +0000 2020,1244087197327753216,"Another announcement by hated and untrusted Prime Minister Scott Morrison, as he gifts billions of dollars in bailouts to the private health industry.

ICYMI: On 23 March, House of Reps and Senate suspended sittings indefinitely → https://t.co/b4wm4REe8y

https://t.co/x7wINBpTQF"
Sun Mar 29 02:21:09 +0000 2020,1244087166449278976,@nanoview @darylgibson @CatPurry9 Are you saying Greg Sheridon has his hand up inside Scott Morrison on Sundays?
Sun Mar 29 02:19:30 +0000 2020,1244086750810525696,"Mr. Basket has just returned from the supermarket and managed to get everything on our list except... (pause for dramatic effect)… mango chutney.

Oh. The. Dep-ri-va-tion!

Why won't Scott Morrison declare a #MangoChutneyEmergency?"
Sun Mar 29 02:18:54 +0000 2020,1244086602076262401,Incredibly frustrating angle. There are many questions about this approach when hundreds of thousands are already disconnected from businesses. Rehire to put as support?! Great analysis by Ben Butler https://t.co/64iv46sbjC https://t.co/FdKNQwk56L
Sun Mar 29 02:18:51 +0000 2020,1244086590227406848,"I’m not a Scott Morrison fan as a general rule, far from it. But we are going through an unprecedented situation and everyone seems to want him to do everything at once. I understand there are many urgent matters but can we please all come together and support one another. We can"
Sun Mar 29 02:18:39 +0000 2020,1244086539241566209,"The government will soon announce a wage subsidy in an attempt to slow coronavirus job losses, Scott Morrison has confirmed (via @BIAUS) https://t.co/aYhaTaFUhw"
Sun Mar 29 02:17:57 +0000 2020,1244086361084145664,"Scott Morrison: 'We can't do things like communist China because we're a democracy.'

Also Scott Morrison: *suspends Parliament*"
Sun Mar 29 02:17:51 +0000 2020,1244086337071763456,"Scott Morrison has foreshadowed further income support and wage subsidies to respond to job losses as a result of coronavirus, indicating measures will apply to those already out of work. https://t.co/jFqafMkuk5 https://t.co/UEDayDbm94"
Sun Mar 29 02:17:38 +0000 2020,1244086282742935553,"Sign this @ChangeAus #petition!

@AusGov needs to freeze #rent &amp; #mortgages for the duration of the #coronavirus! 😷

#RentFreeze2020 #Covid19 #Australia #Sexwork @scarletalliance @SWOPnsw
@VixenCollective @respectqld @SWOP_ACT @sexindustrynetw
@MagentaWA

https://t.co/VF0qcHKkj2"
Sun Mar 29 02:17:02 +0000 2020,1244086132419309569,Coronavirus Australia live news: two more deaths reported in Queensland and Victoria as cases in NSW rise by 174 https://t.co/ZRprKOxcnz
Sun Mar 29 02:16:56 +0000 2020,1244086108511539200,Scott Morrison: Landlord protection - Sign the Petition! https://t.co/xBym0c6Zn8 via @ChangeAUS
Sun Mar 29 02:15:40 +0000 2020,1244085787508887552,"@naomirwolf Sure, it’s Scott Morrison. He just happens to be running it into thhe ground."
Sun Mar 29 02:15:24 +0000 2020,1244085721339768832,Prime Minister Scott Morrison says the government will deliver coronavirus information and public health advice through WhatsApp and an Apple app. https://t.co/DsYMlvNUO0
Sun Mar 29 02:15:24 +0000 2020,1244085721335582721,Prime Minister Scott Morrison says the government will deliver coronavirus information and public health advice through WhatsApp and an Apple app. https://t.co/AAUwcrXyE3
Sun Mar 29 02:14:14 +0000 2020,1244085425276194818,"#Coronavirus #Australia live news: two more deaths reported in #Queensland and #Victoria as cases in #NSW rise by 174 
 @GuardianAus @guardianworld 
https://t.co/W8mxqrFO3w"
Sun Mar 29 02:11:33 +0000 2020,1244084751146684416,@naomirwolf Scott Morrison set up a National Cabniet with all the state leaders and within that the States have flexibility to strengthen certain measures to suit their situations. Qld Premier (thats ALP) explained it beautifully this morning and thanked Scott Morrison. @AlboMP gone gone.
Sun Mar 29 02:11:24 +0000 2020,1244084713947402242,"In times of crisis, we turn to the arts. Now the arts is in crisis – and Scott Morrison is silent | Benjamin Law https://t.co/kenBPHSe7T"
Sun Mar 29 02:11:16 +0000 2020,1244084682414796801,@DavidSligar like to be more specific i think scott morrison isn't super smart but got where he is by following patterns which worked well at the time. now he needs to think for himself and jump into the abyss one way or the other.
Sun Mar 29 02:09:36 +0000 2020,1244084262170546184,Coronavirus Australia live news: two more deaths reported in Queensland and Victoria as cases in NSW rise by 174 https://t.co/lULsQGIAyZ
Sun Mar 29 02:06:30 +0000 2020,1244083479035277312,"Updates from Scott Morrison.

#Australia #australialockdown
#CoronaUpdate #COVID19Aus #Covid_19 https://t.co/rXEj2FFepl"
Sun Mar 29 02:06:21 +0000 2020,1244083444834906116,"@readinglibraria @geoffrey_payne The horse bolted when Scott Morrison was voted in. 

(And yes I realise I’ve put the metaphorical cart before the metaphorical horse)"
Sun Mar 29 02:06:08 +0000 2020,1244083388698349569,Has LNP scott Morrison and his crime gang taken a pay cut yet? #Auspol
Sun Mar 29 02:04:18 +0000 2020,1244082929472376832,@mandy_jolly @SBSNews Scott Morrison's arrogance. Please I'll stop laughing soon. Albo is the arrogant one and won't step aside and let the government do their job we elected them to do.  If he showed a lot more bipartisanship it would really help the country right now.
Sun Mar 29 02:03:48 +0000 2020,1244082800413659136,Scott Morrison: Student Nurses in Australia on placement to be paid during COVID-19 https://t.co/vtyGOMinOO via @ChangeAUS
Sun Mar 29 02:02:40 +0000 2020,1244082517470253056,"@PaulineHansonOz Pauline, Isn't it time to raise the question on how many people have trust in Scott Morrison for the best leadership and interest to protect the Australian people? 
Australia is running out of time!"
Sun Mar 29 02:02:14 +0000 2020,1244082408925712385,"Myers, RM Williams , A Cut Above , Flight Centre , Cotton On , Country Road all closing due to #CPVID19 , @ScottMorrisonMP no stimulus will help . Now dentists stop general practices out of fears of #COVID19 due to lack of protective gear #auspol #insiders
https://t.co/a54bIFRr6u"
Sun Mar 29 02:02:14 +0000 2020,1244082406459494402,"@RealNZParty @JackKin87929381 Oh yes - Scomo is saying Australians shouldn't call the lockdown a lockdown. https://t.co/0MMLXXcTGp
And Bojo is warning that a tougher lockdown may be necessary https://t.co/tiTDT6jKd2
Whatever, authoritarianism in those countries WILL increase"
Sun Mar 29 02:02:00 +0000 2020,1244082347005403136,"New article: ""Scott Morrison offers coronavirus wage guarantee for those who have lost jobs, but details still to come | World news"" has been published on Fintech Zoom - https://t.co/jEDNgUKxEe @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO"
Sun Mar 29 02:01:29 +0000 2020,1244082216751095809,"""It's important that Australia does the right thing about those who have fallen into our care."" Scott Morrison commenting on the 'moral rules' for the health care of international passengers on the cruise ships off the WA coast. #wapol #auspol #covid19aus https://t.co/qyJBVs1z9Z"
Sun Mar 29 02:01:28 +0000 2020,1244082215564144641,"@timsenior I thought the PM, Scott Morrison, said House Party was banned. I am so very confused."
Sun Mar 29 02:01:18 +0000 2020,1244082171867877376,"While social distancing is important and helping to save lives, it can be difficult for many and that is why the Government has announced a mental health package to support those who need it!
https://t.co/kwz8mGg3qI"
Sun Mar 29 02:01:06 +0000 2020,1244082120886288386,"OPINION | If you listen to social media and Twitter, you’d think the coronavirus is the end of the world. Thank goodness our government ­responses are based on expert economic and medical advice, not on the ABC’s wishful thinking, writes Piers Akerman.
https://t.co/5coV7sXpoi"
Sun Mar 29 02:00:47 +0000 2020,1244082043937570817,"It's March 29, 2020 at 01:00PM and the current Australian Prime Minister is Scott Morrison."
Sun Mar 29 02:00:29 +0000 2020,1244081967311622144,"@normanswan Curious about the way Scott Morrison is staying the rate of infection is dropping, just because the number of infections is increasing by a percentage rate than is less than the previous rate it was in creasing, but isn't that just because there's more infections???"
Sun Mar 29 02:00:25 +0000 2020,1244081949330698240,"BREAKING NEWS - Prime Minister Scott Morrison has just announced that the response to his last announcement was so nice, he's announced that another announcement of the same bullshit promises will be announced after he announces the 73rd stimulus package later this week. https://t.co/MQym5CpDDK"
Sun Mar 29 02:00:00 +0000 2020,1244081845085634560,"Under Stage 2 of the government’s imposed lockdown, hairdressers and barbers are permitted to stay open – but they are crying out for change.
https://t.co/8qbasBhZF8"
Sun Mar 29 01:57:32 +0000 2020,1244081223305007106,"""Prime Minister Scott Morrison says the rate of new coronavirus cases in Australia has fallen from 25-30% last week to 13-15%""

30% of 60 = 18
13% of 2,800 = 364

PLEASE tell me you see what they're doing! 

Do not be placated #covid19australia #ShutItDownNow #auspol"
Sun Mar 29 01:56:10 +0000 2020,1244080879703437313,@ScottMorrisonMP Thank you PM Scott Morrison...
Sun Mar 29 01:54:38 +0000 2020,1244080493168955392,"@CroweDM Yes, still in tbe planning stage. ..just another marketing announcement from the meister of spin. .Scott Morrison"
Sun Mar 29 01:54:10 +0000 2020,1244080378207322112,"I haven't even had my flu shot, cos higher demand means I'm waiting in a queue for that too. If i bring coronavirus into this house., with a man who has lung fibrosis etc, he will probably die. I might too. Thanks Scott Morrison."
Sun Mar 29 01:54:04 +0000 2020,1244080353486069767,"Scott Morrison offers coronavirus wage guarantee for those who have lost jobs, but details still to come https://t.co/tNFILm23KK"
Sun Mar 29 01:53:21 +0000 2020,1244080172233449472,"Scott Morrison has announced . . .

Scott Morrison has announced . . .

Scott Morrison has announced . . .

Scott Morrison has announced . . .

Scott Morrison has announced . . .

SCOTT MORRISON HAS DONE FUCKING NOTHING BUT ANNOUNCE . . . https://t.co/wYUbol03L0"
Sun Mar 29 01:52:59 +0000 2020,1244080079287644161,Prime Minister Scott Morrison says people can gain access to a new messaging service on WhatsApp by typing https://t.co/srO1v4RG79.
Sun Mar 29 01:52:57 +0000 2020,1244080072400580609,@David_Speers @ScottMorrisonMP Seems like a lame excuse for doing nothing. Scott Morrison has to let go of the ideology or it's going to be dire for a lot of Australians who won't forget.
Sun Mar 29 01:52:10 +0000 2020,1244079875255717889,"Daily news is contrary to this message ,""Prime Minister Scott Morrison has pointed to one key statistic as a sign that Australia's response to the corona virus is working"" where can we find this stat or is it simply wishful thinking."
Sun Mar 29 01:52:08 +0000 2020,1244079867634675713,"@ausgov @ScottMorrisonMP So far we have tested more then 209,000 people in Australia, at the current rate all Australians will be tested within 10 years. Very good job you are doing Scott Morrison."
Sun Mar 29 01:51:04 +0000 2020,1244079597622136832,"Coronavirus Australia: Hairdressers and barbers beg, ‘Shut us down’ https://t.co/MvwTGUe3x6 https://t.co/pBbbPU3qdB"
Sun Mar 29 01:50:23 +0000 2020,1244079424577798144,"@vmainard @SBSNews Bipartisanship is what's needed.
This is not the time for egos and Scott Morrison's arrogance."
Sun Mar 29 01:47:27 +0000 2020,1244078688376729600,Scott Morrison announces $1.1 billion plan for coronavirus support  https://t.co/57ERNwGMqy #BreakingNews #BREAKING #coronavirus aid #coronavirusaustralia #StimulusPlan #economy #EconomicPackage Credits |Video
