created_at,tweet_id,text
Tue Mar 31 23:48:36 +0000 2020,1245135938969190401,Scott Morrison steps up: https://t.co/qSqtRPhSB2 #auspol @australian
Tue Mar 31 23:47:43 +0000 2020,1245135718818533377,"Scott Morrison, Josh Frydenberg, Greg Hunt, &amp; Mathias Cormann are doing a magnificent job, under incredibly stressful circumstances.
Support them! For the sake of all of us."
Tue Mar 31 23:46:47 +0000 2020,1245135484394799110,"The Guardian: Australia coronavirus live updates: death toll rises to 20 as Victoria announces $1.3bn intensive care boost – latest news.
https://t.co/m5lHDmqeVU

via @GoogleNews"
Tue Mar 31 23:46:11 +0000 2020,1245135332531564544,What Labor/Greens idea will Scott Morrison implement today? #delusional 🤣😂🤣
Tue Mar 31 23:45:39 +0000 2020,1245135197282025472,@v_mq @HammondCare @GuardianAus @abcnews Contact the Premier on Facebook or twitter. Contact local police. If all fails contact Scott Morrison.
Tue Mar 31 23:44:15 +0000 2020,1245134846705401856,"The Executive Director of ASGA, Shaun Bajada, congratulated Prime Minister Scott Morrison on the announcement of a $130bn wage subsidy package. The support measures are a positive step towards protecting businesses &amp; the vital employment they provide. https://t.co/2CqStdKQhm"
Tue Mar 31 23:43:10 +0000 2020,1245134572859215872,Prime Minister Scott Morrison Commits Australia to God https://t.co/OUYE4ZWice via @YouTube
Tue Mar 31 23:40:22 +0000 2020,1245133868786528256,@JessicaEllerm petition to help aprox 1 million Temp Migrants in Aus during this crisis has 2300 signatures in first 24 hours. Social distancing not possible if you can't go home &amp; you have no option other than looking for work. Rethink needed.  #auspol  https://t.co/czlGS2bBzk
Tue Mar 31 23:38:20 +0000 2020,1245133358092312576,Prime Minister Scott Morrison Commits Australia to God https://t.co/c0K5ogi6Kd via @YouTube
Tue Mar 31 23:36:44 +0000 2020,1245132954654765056,"@vanOnselenP 
Great job keeper  package from scott morrison but why exclude the most vulnerable. ......casual workers who work  who are predominantly woman with kids.....
Australian companies rely on them so please tweet to press the government to  include them in some sort"
Tue Mar 31 23:35:53 +0000 2020,1245132740787232768,"@Peter_Fitz 
Great job keeper  package from scott morrison but why exclude the most vulnerable. ......casual workers who work  who are predominantly woman with kids.....
Australian companies rely on them so please tweet to press the government to  include them in some sort of pay"
Tue Mar 31 23:35:25 +0000 2020,1245132624823119878,@helenl0we @erstkate Yeah. I think Scott Morrison and his govt actually mentioned ‘herd immunity’ a few times after the UK govt dumped the plan and it took us so long to start taking measures. I stopped gym a few weeks before they closed. I’d only just rejoined after smoggy summer.
Tue Mar 31 23:35:04 +0000 2020,1245132536612884484,Australia PM calls the Pacific our 'family'; Covid-19 is Australia's chance to prove that  https://t.co/Xo3ntmgaYT
Tue Mar 31 23:34:55 +0000 2020,1245132496594862080,"Great job keeper  package from scott morrison but why exclude the most vulnerable. ......casual workers who work  who are predominantly woman with kids.....
Australian companies rely on them so please tweet to press the government to  include them in some sort of payment....."
Tue Mar 31 23:34:24 +0000 2020,1245132366764339200,"@PaulineHansonOz Great job keeper  package from scott morrison but why exclude the most vulnerable. ......casual workers who work  who are predominantly woman with kids.....
Australian companies rely on them so please tweet to press the government to  include them in some sort"
Tue Mar 31 23:34:07 +0000 2020,1245132296325218304,‘Only in the last few days have we seen reports of the Solomon Islands government obtaining assistance from China to carry out Covid-19 tests locally rather than sending samples to Australia’. ⁦@PatConroy1⁩  https://t.co/Vhd1MG4YfY
Tue Mar 31 23:33:38 +0000 2020,1245132173734064128,"@AlboMP Great job keeper  package from scott morrison but why exclude the most vulnerable. ......casual workers who work  who are predominantly woman with kids.....
Australian companies rely on them so please tweet to press the government to  include them in some sort of payment"
