created_at,tweet_id,text
Mon Mar 23 23:59:28 +0000 2020,1242239571103862784,@LesStonehouse #auspol Trouble is Scott Morrison is a true believer in economic rationalism &amp; money market being able to resolve everything except where his god comes in. We are all suffering as a result of this philosophy. He can't cope with the fact his philosophy is proven wrong!
Mon Mar 23 23:58:12 +0000 2020,1242239254505197568,Scott Morrison Defined As Non-Essential Service  – The Shovel https://t.co/3qDzZG8XUN
Mon Mar 23 23:57:29 +0000 2020,1242239074074689536,"Besieged PM caught in the coronavirus swamp, up to his neck in alligators | The New Daily https://t.co/PIn1l8jmFp"
Mon Mar 23 23:57:03 +0000 2020,1242238964062244865,The politics of a pandemic: When Scott Morrison lost the plot - Independent Australia https://t.co/3ceLeLinWP
Mon Mar 23 23:55:34 +0000 2020,1242238592216256512,"@LesStonehouse This will help you understand.
https://t.co/QlSII2A3gv"
Mon Mar 23 23:53:22 +0000 2020,1242238039742537728,Scott Morrison why not use tele-conferencing like many of us rather than close parliament? It's entirely possible. How do you intend to canvass broad parliamentary opinion?
Mon Mar 23 23:49:24 +0000 2020,1242237040122458112,"That night, Morrison was angry, belligerent, unapologetic and rude. He also refused to take any responsibility for the shambolic confusing mess that has characterised the Federal response to the pandemic over the last two to three weeks.https://t.co/JQ2TdkGlou"
Mon Mar 23 23:48:29 +0000 2020,1242236810568388608,I'm almost certain Scott Morrison is trying to Kill most of us good peeps .. Not sure why?  Anyone have any idea why FFS ?      #auspol
Mon Mar 23 23:44:51 +0000 2020,1242235894452482048,'My bad': Minister admits Centrelink stuff-up amid predictions 1 million have lost their jo… https://t.co/yUp4we6JZi
Mon Mar 23 23:44:30 +0000 2020,1242235804413353984,"It'll never happen, but Scott Morrison should consider assembling a new cabinet. Make Albo the Deputy PM and bring in some astute Labor, Greens, Independent MPs into the fold. The coronavirus cabinet would bring in a range of smart people who are working to help Australia."
Mon Mar 23 23:42:31 +0000 2020,1242235307283505152,"Don’t count your chickens, Geoff.  Scott Morrison is all promise and no delivery.  All mouth and no trousers, as they say. https://t.co/WAnFxLtM8E"
Mon Mar 23 23:42:06 +0000 2020,1242235201473789952,"Australian divisions over coronavirus put pressure on PM: On the burning question of whether Australian schools should close as coronavirus cases increase, Prime Minister Scott Morrison was adamant: ""Children should go to school."" Morrison emerged from… https://t.co/rDaDvW3kOk"
Mon Mar 23 23:41:40 +0000 2020,1242235094904889344,"""...minister Stuart Robert admits not anticipating demand""

This Government is a joke. 
#AusPol 
https://t.co/yteyuBCCNi"
Mon Mar 23 23:41:29 +0000 2020,1242235048490864641,@GladysB @9NewsAUS @newsauspol @Senator_Patrick @thelizhayes @political_alert                           We can be kind and lovely when scott Morrison resigns. He lies acts criminally and cover up war crimes https://t.co/PoGW0mtMgH
Mon Mar 23 23:41:27 +0000 2020,1242235040144044032,Of course there would be exceptions to this (like any plan) but it's a bold initiative that could save lives and the economy's capacity to bounce back: https://t.co/HMCoY2I8B5
Mon Mar 23 23:41:22 +0000 2020,1242235016702128129,The government can shut down but schools stay open? Isn’t government essential at this time? Someone please sack Scott Morrison. @ScottMorrisonMP @AlboMP @marshall_steven @AmandaRishworth @NatCookMP
Mon Mar 23 23:40:53 +0000 2020,1242234896338178048,@scott_morrison This is like a weird live-action reboot of Angry Birds where the pork is what flies instead of the birds.
Mon Mar 23 23:40:35 +0000 2020,1242234821260103680,'My bad': Minister admits Centrelink stuff-up amid predictions 1 million have lost their jobs https://t.co/Go6K6fO0Aj via @ABCNews
Mon Mar 23 23:39:34 +0000 2020,1242234565424381952,"How could you watch Italy or China and not anticipate people in Australia losing income? 

#coronavirusaustralia
#auspol

'My bad': Minister admits Centrelink stuff-up amid predictions 1 million have lost their jobs https://t.co/y8YK1v6Anf"
Mon Mar 23 23:39:25 +0000 2020,1242234526421495808,"@TheKouk @SwannyQLD Why can't we get rid of this incompetent government!!  We need visionaries to lead us now.  Not cult followers..  Scott Morrison doesn't seem to ""get"" anything.  Always on the back foot and catching up and with an agenda that is always secret.  We CANNOT and SHOULD not trust him."
Mon Mar 23 23:38:26 +0000 2020,1242234277653180419,"#ScottyfromMarketing is #CluelssinCanberra

Besieged PM caught in the coronavirus swamp, up to his neck in alligators | The New Daily https://t.co/I7VKEUWbSg"
Mon Mar 23 23:37:39 +0000 2020,1242234082248949760,"Government urging people to go home as lines form around Centrelink offices, minister Stuart Robert admits not anticipating demand https://t.co/sQXQLtoc8B"
Mon Mar 23 23:36:15 +0000 2020,1242233728220319745,@cstross @MyzLilith Scott Morrison over here is trying very hard
Mon Mar 23 23:36:11 +0000 2020,1242233712525312001,@sallymcmanus @DaveSharma @SenatorRyan @MathiasCormann @M_McCormackMP @NSWNationals @GladysB   @GregHuntMP @LiberalAus          Scott Morrison needs to resign or be rolled LABOUR DLP LITHGOW https://t.co/IdCuS0W4d7
Mon Mar 23 23:35:15 +0000 2020,1242233478457872385,'My bad': Minister admits Centrelink stuff-up amid predictions 1 million have lost their jobs https://t.co/TFGNIxnLXG
Mon Mar 23 23:33:35 +0000 2020,1242233058805329920,"@Dax_x98 Jim Morrison, Jimi Hendrix, Bon Scott, and many more."
Mon Mar 23 23:32:29 +0000 2020,1242232783637860352,@hansinclair9 @9NewsSyd Would you line up @Scott Morrison
Mon Mar 23 23:32:01 +0000 2020,1242232666340102145,P.E.I. farmer keeps social distance by hurling pork products to hungry customers https://t.co/7PLpXMrg1S
