created_at,tweet_id,text
Sat Mar 28 23:59:30 +0000 2020,1244051520334823424,@scott_morrison @DalWBB @DalTigers @MitchNathaniel @markenglish123 @coach_pt Boy you look like your dad in that picture #likefatherlikeson
Sat Mar 28 23:58:56 +0000 2020,1244051377988370432,@MikeFitzAU @naomirwolf Does this mean that potentially the individual states can raise militia and arrest Scott Morrison for treason? Dissolving Parliament is endangering the lives of its citizens.
Sat Mar 28 23:58:52 +0000 2020,1244051360313757699,Scott Morrison: A fair go to International Students and Temporary Visa Holders amid the global crisis - Sign the Petition! https://t.co/vO2nCg0EtQ via @ChangeAUS
Sat Mar 28 23:58:51 +0000 2020,1244051355125215233,"@scott_morrison @DalTigers @MitchNathaniel @markenglish123 Right after this game, Morrison fronted his grunge band for a memorable 12-song set."
Sat Mar 28 23:58:40 +0000 2020,1244051311919693824,Coronavirus Australia live news: Scott Morrison to detail $1.1bn health and family violence package https://t.co/hkVOCKJGup
Sat Mar 28 23:58:31 +0000 2020,1244051271432069121,@AllergyWhispers @ndrew_lawrence @MrNixonsWife Wait! You are an Australian and critiquing OUR President? Your opinion about him is irrelevant as a non-citizen and non taxpayer in the USA! I don’t make derogatory comments about PM Scott Morrison or the governors of NSW and Victoria; Margaret Beazley &amp; Linda Dessau. Stop It!!
Sat Mar 28 23:57:20 +0000 2020,1244050976442437632,Host on ABC News just said Scott Morrison would be stepping up soon. I doubt it.
Sat Mar 28 23:57:20 +0000 2020,1244050975691702274,"@naomirwolf There are a lot of answers on here, but here goes,... The correct answer... is... Scott Morrison. Hope this helps Naomi."
Sat Mar 28 23:54:34 +0000 2020,1244050280548683778,@KarenMMiddleton Gee will I tune in to another Scott Morrison presser or will I bang my head a against a wall for 15 minutes. Now which is the most productive? #auspol #Cormann Greg Sheridan? Rupert Murdoch?
Sat Mar 28 23:54:22 +0000 2020,1244050228711321601,Coronavirus Australia: Inside Scott Morrison's expert medical advice circle https://t.co/HmX4FkdaJ4
Sat Mar 28 23:52:09 +0000 2020,1244049669493145600,"@naomirwolf @CarmelaLeone_ @ADHCwomenCount Yep good question,  parliament has adjourned for six months during the  pandemic, that was the call of Prime Minister Scott Morrison. Quite incredible"
Sat Mar 28 23:51:27 +0000 2020,1244049493974233094,Inside Scott Morrison’s very corporate COVID-19 commission https://t.co/XLMGs4zgTm
Sat Mar 28 23:50:25 +0000 2020,1244049236334751744,"“Yes, these are hard problems to solve. But calling them “complicated”, which seems to be the Canberra consensus, won’t make them any less urgent.” https://t.co/j4yiY5T9S8"
Sat Mar 28 23:49:58 +0000 2020,1244049122316808192,"#auspol Amazing now the #abcnews reports the Prime Minister Scott Morrison about to announce a $1.1 Billion package for Mental Health and it's just wonderful

If he had done that a month ago they would have had 10 #IPA representatives on all day

Decrying this slip into Socialism"
