created_at,tweet_id,text
Mon Mar 30 11:09:02 +0000 2020,1244582403730898944,"Katharine @murpharoo Would it really hurt that much for you to present a “Positive” opinion piece with respect to Scott Morrison’s, and the Government’s, approach to introducing measures to ensure that all Australian individuals and businesses can get through and Survive this?! https://t.co/QV5yobnTv2"
Mon Mar 30 11:08:42 +0000 2020,1244582319899303936,@ScottMorrisonMP Well well sir Scott Morrison you are doing a great job for the people of Australia but you spend ing money like water ok if this what think will happen China will what there money  back from all countries so are they going walk in and take over Australia or we will pay owe det https://t.co/QnRp3UYuLE
Mon Mar 30 11:08:39 +0000 2020,1244582306334912513,"Got no faith except Scott Morrison and the Liberal National Government will Totally Collapse the Economy,
 #QandA"
Mon Mar 30 11:08:39 +0000 2020,1244582305869504512,iN tough times like this we see the best of Australia..Scott Morrison PM..@ScottMorrisonMP @GregHuntMP @GaryLineker @George_Osborne @Peter_Conradi
Mon Mar 30 11:07:36 +0000 2020,1244582039803715590,#qanda @ScottMorrisonMP I think everything the government is doing has been fantastic. True leadership when needed. There has been no handbook on how to react and Scott Morrison has done a great job!!!
Mon Mar 30 11:05:04 +0000 2020,1244581404723294211,Scott Morrison has now enlisted Keith Urban and Nicole Kidman to help keep spirits up in Australia..he has just told Australians via LinkedIn .thank you Australia you are saving lives and livelihoods..this is so inspiring from the PM @ScottMorrisonMP @GregHuntMP @Peter_Conradi ..
Mon Mar 30 11:04:44 +0000 2020,1244581321877286913,Scott Morrison trying to become popular by telling tenants don’t pay rent . Why don’t you tell the banks freeze loan payments ?why are politicians still spending millions of dollars on perks when we suppose to be isolating ?😡😡😡😡😡
Mon Mar 30 11:03:20 +0000 2020,1244580965789253632,@mattmua72 @AlboMP have you offered to take a 50% pay cut? you should even if Scott Morrison doesn't. #qanda
Mon Mar 30 11:02:12 +0000 2020,1244580680824016898,Scott Morrison: Landlord protection - Sign the Petition! https://t.co/jiQ04RZgov via @ChangeAUS
Mon Mar 30 11:01:07 +0000 2020,1244580408429142017,"I assume this is what Scott Morrison has been alluding to when he talks about the importance of the economy. The domestic violence, alcohol abuse, relationship breakdown, depression and suicide from the isolation, job losses and bankruptcies. Imagine having to weigh these https://t.co/Fe9oPFoct3"
Mon Mar 30 11:00:11 +0000 2020,1244580174361960450,"It's March 30, 2020 at 10:00PM and the current Australian Prime Minister is Scott Morrison."
Mon Mar 30 10:56:05 +0000 2020,1244579143993282561,I'm really grateful that Scott Morrison was elected PM before covid-19 #qanda
Mon Mar 30 10:55:23 +0000 2020,1244578966339383297,"@DrBastianSeidel @FinancialTimes @FT US is predicting the peak in two weeks and Scott Morrison is locking business sentiment in for six months?  

Turn this around Sebastian, you can do it"
Mon Mar 30 10:54:55 +0000 2020,1244578848856924160,Scott Morrison: Landlord protection - Sign the Petition! https://t.co/9XMqvq9KdV via @ChangeAUS
Mon Mar 30 10:54:49 +0000 2020,1244578825700139008,"@StrayMutts The truth was exposed on #ABC #4corners tonight ... Scott Morrison's handling of the #coronavirusau has been  woeful and dangerous! It appears that he had been taking advice from his #Pentecostal mate in the USA, Donald Trump. Similar views!"
