created_at,tweet_id,text
Sun Mar 29 04:07:05 +0000 2020,1244113824849907715,"@naomirwolf Dear Dr Wolf, on 24th August 2018, the Governor-General appointed The Honourable Scott Morrison MP who became Australias 30th Prime Minister and serves under Queen Elizabeth II."
Sun Mar 29 04:06:16 +0000 2020,1244113620654411777,"PLEASE even if you’re not Australian idc just sign it and share it!!!

https://t.co/rANwFgb63E"
Sun Mar 29 04:05:55 +0000 2020,1244113532049752064,Coronavirus Australia live news: two more deaths reported in Queensland and Victoria as cases in NSW rise by 174 - The Guardian https://t.co/v9QprLSG3Y via @GoogleNews
Sun Mar 29 04:05:28 +0000 2020,1244113418518278144,"@cheryl_kernot The ONLY person @ScottMorrisonMP is helping???
IS Scott Morrison.....
End of Story. 
#auspol"
Sun Mar 29 04:02:00 +0000 2020,1244112547617202176,"Scott Morrison offers coronavirus wage guarantee for those who have lost jobs, but details still to come https://t.co/b2X3YQ3t2R"
Sun Mar 29 04:01:12 +0000 2020,1244112346781331456,Scott Morrison has urged employers to hold off standing down any more workers until his government announces a new wage subsidy within days for employees affected by the coronavirus pandemic https://t.co/wyAWdr5z8b #auspol @australian #coronavirusaus
Sun Mar 29 04:01:11 +0000 2020,1244112341974880257,"An entire thread of people wishing disease / death on Trump &amp; Scott Morrison.

Feel free to report each one.

https://t.co/4NnN409jl0 https://t.co/KXtgiixAQ9"
Sun Mar 29 04:00:44 +0000 2020,1244112228590239744,"It's March 29, 2020 at 03:00PM and the current Australian Prime Minister is Scott Morrison."
Sun Mar 29 03:59:55 +0000 2020,1244112024394780674,"Good news story incoming: The rate of new coronavirus cases in Australia has fallen from 25 to 30 per cent a day last week to 13 to 15 per cent a day, Prime Minister Scott Morrison says.
〰️
Let's keep up the good… https://t.co/4K5sTfRIlC"
Sun Mar 29 03:59:06 +0000 2020,1244111817825116160,@naomirwolf Not Scott Morrison
Sun Mar 29 03:57:32 +0000 2020,1244111425104162823,"Today Scott Morrison announced a new #WhatsApp messaging system to improve communication on #COVID-19.

To install the messaging system go to https://t.co/dGKaIPcRlG OR https://t.co/rVafJF9Svz

#stopthespread #leadership https://t.co/DWDumUBJE8"
Sun Mar 29 03:49:02 +0000 2020,1244109283718909953,@JoeABCNews How is it that Scott Morrison has just come out saying it flattening?
Sun Mar 29 03:47:42 +0000 2020,1244108949869084672,Scott Morrison: Get Australia in full lockdown with COVID -19 before it gets too out of control https://t.co/BSgWKGxthG via @ChangeAUS
Sun Mar 29 03:47:24 +0000 2020,1244108873268527107,Please remember this from Scott Morrison on 1 February when he he is referred to as a great pm https://t.co/jC8jZvIlUR
Sun Mar 29 03:47:05 +0000 2020,1244108792993734656,@CroweDM @JacquiLambie Here we go again. Scott Morrison being dragged kicking and screaming to make the right decision. Talk about incompetent.
Sun Mar 29 03:43:32 +0000 2020,1244107900928299008,Scott Morrison says Australia's lockdown measures have HALVED the rate of coronavirus infections in the past week https://t.co/6Yq0hzOsXx via @MailOnline
Sun Mar 29 03:42:58 +0000 2020,1244107759303438336,"Unions have been campaigning for a job guarantee through a wage subsidy - and it looks like Scott Morrison has heard us! 

But the devil is in the detail. We need to make sure all workers - permanent, casual, contract, and gig workers - can access it. 

https://t.co/7VlsZqP3c9"
Sun Mar 29 03:42:12 +0000 2020,1244107566361104384,"@JYSexton Hi Jared. The intermingled cults of evangelical/pentecostalism, white supremacy and prosperity theology have spread far beyond the US. The current Australian PM, Scott Morrison, is deeply embedded in this ideology. This is dangerously impacting on our nation’s CoVid19 response."
Sun Mar 29 03:39:29 +0000 2020,1244106881745842183,@erstkate No 5 looked fine until it's saw Scott Morrison  doing a press conference..
Sun Mar 29 03:38:59 +0000 2020,1244106757284093952,"more disastrous like Australia right now..

#VoteNZ

Wake up NZ
Response from Scott Morrison summarised https://t.co/9C18mN74Ga"
Sun Mar 29 03:36:32 +0000 2020,1244106139861540864,Let's make sure the banks don't continue to profit from us while everyone else is forced to do it tough: #coronavirus #weareallinthistogether: Scott Morrison: Stop Bank Interest Charges For Covid 19 Hardship Applications https://t.co/rAa2ffi6rf via @ChangeAUS
Sun Mar 29 03:36:19 +0000 2020,1244106084773576704,"@PeterSMay @vera77mazz @AlboMP Don't gaslight me.  You're the crazy one if you think the greens have been in power for the last 7 years.  It's 2020 and the prime minister is Scott Morrison, can you name a simple object in the room."
Sun Mar 29 03:33:22 +0000 2020,1244105340628504577,Scott Morrison: Get Australia in full lockdown with COVID -19 before it gets too out of control - Sign the Petition! https://t.co/4kTIktJp5U via @ChangeAUS
Sun Mar 29 03:33:06 +0000 2020,1244105273213693953,Australian PM Scott Morrison details new $1.1 billion healthcare package amid Coronavirus crisis https://t.co/tnc2Bchv69
Sun Mar 29 03:32:59 +0000 2020,1244105247066181632,"""Schools are safe for children to attend"" - Scott Morrison (every other country acknowledges children are able to infect and more importantly SPREAD #COVID19au )... #closeschoolsnow https://t.co/XqI12phTk4"
Sun Mar 29 03:32:33 +0000 2020,1244105136474951680,This would probably have been a quicker process if you had not adjourned parliament Scott Morrison... https://t.co/mAgUqq7T14
Sun Mar 29 03:29:15 +0000 2020,1244104305080258562,PM Scott Morrison says Australia's lockdown measures have HALVED the rate of coronavirus https://t.co/6SzNOxnYNH https://t.co/7qWA8fEZSt
