created_at,tweet_id,text
Mon Mar 30 13:44:23 +0000 2020,1244621498741968896,"@camoowealkid @oz_f are the numbers plateauing, or are people unable to get tested?

call me cynical, but i have loved ones woron the front line, and from their perspective, the govt response has been rather poor.

probably best not to congratulate scott “go to the footy” morrison just yet."
Mon Mar 30 13:44:23 +0000 2020,1244621496397361153,Scott Morrison announces $1.1 billion plan for coronavirus support  https://t.co/lkrEG2FmhC
Mon Mar 30 13:38:32 +0000 2020,1244620023747887105,"All through thiscoronavirus experience, we've had one rule for Scott Morrison's mates, donors, and his church, and one rule for non-mates/non-hillsongers https://t.co/Mnij6UD4P7 via @ABCNews"
Mon Mar 30 13:34:30 +0000 2020,1244619011649748992,@LeRoiRobbie @janespeight @VictorianCHO Boats and planes arriving they have made a huge contribution to the COVD19 numbers.  The mixed message Scott Morrison stating out borders are closed but that did not happen !
Mon Mar 30 13:32:29 +0000 2020,1244618503283527681,@GaryLineker @Peter_Conradi @tom_watson @MattHancock @Jeremy_Hunt @TeamRanil @MOReilly01 @ScottMorrisonMP Scott Morrison PM  is huge on LinkedIn and I am a first connection to many of his colleagues.who also use LinkedIn because professionals matter to them..unlike here in the UK https://t.co/f9J54UcxJ1
Mon Mar 30 13:27:52 +0000 2020,1244617341788459008,Australian workers eligible for AU$1500 a fortnight as PM unveils coronavirus ‘Jobkeeper’ package https://t.co/ID5UNBeJq7
Mon Mar 30 13:24:48 +0000 2020,1244616568522366976,"""People are doing it really tough,"" she said.

“I think the response to Scott Morrison and Josh Frydenberg's announcement over in the west was definitely a sign of relief"".

Prime Minister Scott Morrison on Monday revealed his government will pay employers to keep on their staff"
Mon Mar 30 13:23:09 +0000 2020,1244616155316097024,@iMusing @jrayner896 John Hewson writes a Friday article in the Illawarra Mercury. He's been critical of the Scott Morrison govt. I believe he write very well.
Mon Mar 30 13:22:50 +0000 2020,1244616074072453120,"#4corners is the scariest and most infuriating TV I have ever seen pertaining to my life. Ever.

I think back to last May at how worried I was to be living under Scott Morrison and the #LNPfail

I had no idea it would be life threatening.

#coronavirusaus #coronavirusaustralia"
Mon Mar 30 13:22:49 +0000 2020,1244616068343058432,What you need to know about the two-person rule https://t.co/tOMF9WequI via @ABCNews
Mon Mar 30 13:18:49 +0000 2020,1244615065031958530,"Scott David Morrison
 #CrimesAgainstHumanity"
Mon Mar 30 13:14:51 +0000 2020,1244614063277178882,"These effects, but global. https://t.co/tuNxib0jpw"
Mon Mar 30 13:14:10 +0000 2020,1244613891704778752,"With states now chipping in with Rent relief, where landlords can't evict you for 6 months if you're impacted, these measures will hopefully see us through these dark economic times.

Scott Morrison and Dan Andrews have been quite good in the response but long way to go"
Mon Mar 30 13:01:16 +0000 2020,1244610647700037633,"I usually really hate sharing stuff like this, but hey, maybe this will make the gov take action.

https://t.co/rEHSx4iD6P"
Mon Mar 30 13:00:56 +0000 2020,1244610560601268226,"It's March 31, 2020 at 12:00AM and the current Australian Prime Minister is Scott Morrison."
Mon Mar 30 12:56:57 +0000 2020,1244609560171540480,@6_VoiceOfReason @dchubb01 @GiannisTraveled @MilitaryMom26 @LeahWoo06427053 @ultimatetaxi @libertyspot @sweetenerlogan @reidgmaddox @Shaylarz @ThePoshOne @TimRunsHisMouth @HillaryClinton @realDonaldTrump I see someone who seems to actually care about Americans and not just those in NYC or California. Just like I see the same in Scott Morrison or Tony Abbott.
Mon Mar 30 12:55:58 +0000 2020,1244609312552599552,@saintredsfc @SeanGre03084955 He’s a fuckn dud the Scott Morrison of coaching!
Mon Mar 30 12:50:54 +0000 2020,1244608036460728322,"Scott Morrison announces $1,500 fortnightly payment for workers hit by coronavirus crisis – video | Global https://t.co/J4Vi5qolMb https://t.co/5789uUKySJ"
Mon Mar 30 12:47:45 +0000 2020,1244607245968703490,Australian workers eligible for AU$1500 a fortnight as PM unveils coronavirus ‘Jobkeeper’ package https://t.co/wYiHEBJB97
Mon Mar 30 12:47:24 +0000 2020,1244607156483047424,"@SusannahBirch i'm livid Mr's had 2 ops cancelled and is living in agony. I'm furious chemist ran out of my pain meds even though when i said, do i need to order she said no. So no pain relief til Wednesday if i'm lucky! And i'm about ready to strangle Scott ""it's all coming later"" Morrison."
Mon Mar 30 12:44:42 +0000 2020,1244606475520978944,"@Qldaah Not interested in Mr. Scott Morrison, family man...really NEED @ScottMorrisonMP thinking and talking as Prime Minister of Australia.  Not up to it.  Not up to making any sense as Australian leader.  Really, really shameful."
Mon Mar 30 12:42:14 +0000 2020,1244605855800180738,Today's slur for Scott Morrison: Obtuse buffoon.
Mon Mar 30 12:39:28 +0000 2020,1244605162179756033,"Coronavirus Australia live news: Scott Morrison announces $1,500 a fortnight 'job keeper' payment to employers worth $130bn – latest https://t.co/1uXYamLqUL"
Mon Mar 30 12:36:46 +0000 2020,1244604479661539328,"Day 563 of captivity
No news is not necessarily good news, it is just no news
There has been total silence over #KylieMooreGilbert for weeks. We can only hope for the best &amp; urge those in power to do more &amp; do it faster #FreeKylie
Please add your voice https://t.co/3Yl0fInXEH"
Mon Mar 30 12:35:41 +0000 2020,1244604209963479048,"NEVER FORGET: Scott Morrison &amp; Josh Frydenberg will never get it right. they ALWAYS get it wrong &amp; when they get caught they shift blame &amp; the public ALWAYS pay for their mistakes. FOR SMIRKO &amp; FRAUDO, #COVID WAS A BACK IN FAKE-SURPLUS CRISIS; NOT, A HEALTH CRISIS. #qanda #corona https://t.co/H8MhYj0EzZ"
Mon Mar 30 12:35:16 +0000 2020,1244604103331700742,"@NaomiStarkey3 @Pinkgelato15 @ScottMorrisonMP Where do you people think money comes from? Contrary to popular belief, Scott Morrison can’t pull it out of his arse."
Mon Mar 30 12:33:13 +0000 2020,1244603589403619329,"That is very, very interesting. 

Has any member of the media asked Scott Morrison who the new resident in Kirribilli House is this week? 

One rule for some . . . . . . .  🤔 https://t.co/sGJ6JHA3j7"
Mon Mar 30 12:23:41 +0000 2020,1244601186637860864,"#qanda Coronavirus: Shane Warne leads sports world’s attack on Scott Morrison
https://t.co/RZ86MGXx0N"
Mon Mar 30 12:21:53 +0000 2020,1244600734424764416,"#qanda Coronavirus: Scott Morrison slammed for football decision
https://t.co/aaE5UUlqn6"
Mon Mar 30 12:21:26 +0000 2020,1244600620125847552,"@MrsC_Assange I wrote to George Brandis, Julie Bishop and Scott Morrison to no avail. I will draw up a new plan of attack."
Mon Mar 30 12:20:45 +0000 2020,1244600451430887426,"@t_charn522 @Briggs Deviating away from the point. It is not my opinion that Australia is currently handling this better than other countries, it’s fact. If you are more informed than the experts on what to do, what would you suggest Scott Morrison does, Denis?"
Mon Mar 30 12:20:16 +0000 2020,1244600329099866113,Australians dissatisfied with the leadership of Prime Minister Scott Morrison are banding together to call for New Zealand to annex Australia so the country can be under Jacinda Ardern's leadership. https://t.co/Ct2eA2kvT7
Mon Mar 30 12:20:03 +0000 2020,1244600273584009217,#qanda Scott Morrison threatens funding for independent and Catholic schools if they close amid coronavirus crisis https://t.co/q0kGYnu2lA
Mon Mar 30 12:16:49 +0000 2020,1244599458723033090,Has anyone clarified if the two person rule applies to small kids? ⁦@abcnews⁩  https://t.co/tOQWgVeRrJ
Mon Mar 30 12:16:09 +0000 2020,1244599294025297921,@superceiliog @BelindaJones68 @AustralianLabor You still to write scott Morrison go home 100x before morning or I'll chop your balls off
Mon Mar 30 12:15:00 +0000 2020,1244599001871200256,"Scott Morrison and Josh Frydenberg knew they had to upend their previous reluctance to provide wage subsidies. And they have, big time, writes @jennifer_hewett. #auspol #coronavirus https://t.co/79wJdpmaho"
Mon Mar 30 12:13:49 +0000 2020,1244598707216994304,PM gives workers $1500 a fortnight payment as part of $130 billion package https://t.co/vlIohL0Xqr
Mon Mar 30 12:01:47 +0000 2020,1244595678463983617,"@Matthew58489786 @20thCenturyDan @TooheyMatthew @4corners Horizon Church is an Assemblies of God (AOG) church, a pentacostal organisation that shares the same value and belief set as Hillsong.  
I grew up in AOG churches.  Their message is as identical to Hillsong and equally elitist and toxic.
https://t.co/gIjxwJv33C"
Mon Mar 30 12:00:47 +0000 2020,1244595425824268288,@Joe_Hildebrand She wants lots of people to die so she can say Scott Morrison has blood on his hands or some shit like that
Mon Mar 30 12:00:45 +0000 2020,1244595415183437825,"It's March 30, 2020 at 11:00PM and the current Australian Prime Minister is Scott Morrison."
Mon Mar 30 11:59:55 +0000 2020,1244595205237428225,"@JaneCaro I didn't vote for Scott Morrison and certainly weren't happy when they won power again, but moronic like-hungry tweets like this that smack of desperation for attention, is what drives division in this country at a time that it certainly isn't needed."
Mon Mar 30 11:59:00 +0000 2020,1244594976392126468,Coronavirus job keeper: Scott Morrison announces $1500 fortnightly payments to Australian workers : #auspol #australiapm https://t.co/6nYoIHYZBm
